dbGap Variable	dbGap Table	dbGap Description	UChicago Variable	UChicago Table	Type	Enumerations
sidno	pht001116.v10, pht001111.v4	Share id number	submitter_id	case	number	
race1c	pht001116.v10, pht001111.v4	Race / ethnicity	race	demographic	enum	WHITE, CAUCASIAN|CHINESE AMERICAN|BLACK, AFRICAN-AMERICAN|HISPANIC
gender1	pht001116.v10, pht001111.v4	Gender	gender	demographic	enum	FEMALE|MALE
site1c	pht001116.v10, pht001111.v4	Site	site	case	enum	WFU|COL|JHU|UMN|NWU|UCLA
dm031c	pht001116.v10, pht001111.v4	Exam 1 diabetes mellitus by 2003 ada fasting criteria algorithm	diabetes_diagnosis	diagnosis	enum	NORMAL|IFG|UNTREATED DIABETES|TREATED DIABETES
htn1c	pht001116.v10, pht001111.v4	Hypertension by jnc vi (1997) criteria	hypertension_diagnosis	diagnosis	boolean	
htnstg1c	pht001116.v10, pht001111.v4	Hypertension stage	hypertension_stage	diagnosis	enum	OPTIMAL|NORMAL|HIGH-NORMAL|STAGE 1 HYPERTENSION|STAGE 2 HYPERTENSION|STAGE 3 HYPERTENSION
cer451q1	pht001116.v10, pht001111.v4	Cholesterol ester transfer protein - r451q genotype	cer451q1	lab_result	enum	RR|RQ|QQ
oxldl1	pht001116.v10, pht001111.v4	Oxldl (mg/dl)	oxldl1	lab_result	number	
f81c	pht001116.v10, pht001111.v4	Calibrated factor viii (%)	f81c	lab_result	number	
renins1c	pht001116.v10, pht001111.v4	Indicator of renal insufficiency (gfr<60)	renins1c	lab_result	number	
rbrach1	pht001116.v10, pht001111.v4	Right brachial bp (mmhg)	rbrach1	blood_pressure_test	number	
rdpedis1	pht001116.v10, pht001111.v4	Right dorsalis pedis bp (mmhg)	rdpedis1	blood_pressure_test	number	
rptib1	pht001116.v10, pht001111.v4	Right posterior tibial bp (mmhg)	rptib1	blood_pressure_test	number	
lptib1	pht001116.v10, pht001111.v4	Left posterior tibial bp (mmhg)	lptib1	blood_pressure_test	number	
ldpedis1	pht001116.v10, pht001111.v4	Left dorsalis pedis bp (mmhg)	ldpedis1	blood_pressure_test	number	
lbrach1	pht001116.v10, pht001111.v4	Left brachial bp (mmhg)	lbrach1	blood_pressure_test	number	
aabpcmp1	pht001116.v10, pht001111.v4	Aabp completed successfully	aabpcmp1	blood_pressure_test	boolean	
rluoccl1	pht001116.v10, pht001111.v4	Reason aabp incomplete (r): unable to occlude	rluoccl1	blood_pressure_test	boolean	
rlulcer1	pht001116.v10, pht001111.v4	Reason aabp incomplete (r): ulceration	rlulcer1	blood_pressure_test	boolean	
rulocpt1	pht001116.v10, pht001111.v4	Reason aabp incomplete (r): unable to locate pt	rulocpt1	blood_pressure_test	boolean	
lluoccl1	pht001116.v10, pht001111.v4	Reason aabp incomplete (l): unable to occlude	lluoccl1	blood_pressure_test	boolean	
llulcer1	pht001116.v10, pht001111.v4	Reason aabp incomplete (l): ulceration	llulcer1	blood_pressure_test	boolean	
lulocdp1	pht001116.v10, pht001111.v4	Reason aabp incomplete (l): unable to locate dp	lulocdp1	blood_pressure_test	boolean	
lulocpt1	pht001116.v10, pht001111.v4	Reason aabp incomplete (l): unable to locate pt	lulocpt1	blood_pressure_test	boolean	
rulocdp1	pht001116.v10, pht001111.v4	Reason aabp incomplete (r): unable to locate dp	rulocdp1	blood_pressure_test	boolean	
abi1c	pht001116.v10, pht001111.v4	Ankle-brachial index	abi1c	blood_pressure_test	number	
htcm1	pht001116.v10, pht001111.v4	Height (cm)	height	exposure	number	
htmodp1	pht001116.v10, pht001111.v4	Height, protocol modification	height_protocol_modification	exposure	boolean	
wtlb1	pht001116.v10, pht001111.v4	Weight (lbs)	weight	exposure	number	
wtmodp1	pht001116.v10, pht001111.v4	Weight, protocol modification	weight_protocol_modification	exposure	boolean	
waistcm1	pht001116.v10, pht001111.v4	Waist circumference (cm)	waist_circumference	exposure	number	
hwmodp1	pht001116.v10, pht001111.v4	Girth, protocol modification	girth_protocol_modification	exposure	boolean	
cmtmodp1	pht001116.v10, pht001111.v4	Comments, anthro protocol modification	anthro_protocol_modification	exposure	boolean	
hipcm1	pht001116.v10, pht001111.v4	Hip circumference (cm)	hip_circumference	exposure	number	
bmi1c	pht001116.v10, pht001111.v4	Body mass index (kg)/(m^2)	bmi	exposure	number	
bmicat1c	pht001116.v10, pht001111.v4	Body mass index, who categories	bmi_category	exposure	enum	NORMAL|GRADE 1 OVERWEIGHT|GRADE 2 OVERWEIGHT|GRADE 3 OVERWEIGHT
bsa1c	pht001116.v10, pht001111.v4	Body surface area	bsa	exposure	number	
oardis1	pht001116.v10	Flow parameter: aortic distensibility	oardis1	cardiac_mri	number	
presys1	pht001116.v10	Systolic blood pressure before series 7 mri	presys1	cardiac_mri	number	
predia1	pht001116.v10	Diastolic blood pressure before series 7 mri	predia1	cardiac_mri	number	
postsys1	pht001116.v10	Systolic blood pressure after series 7 mri	postsys1	cardiac_mri	number	
postdia1	pht001116.v10	Diastolic blood pressure after series 7 mri	postdia1	cardiac_mri	number	
oaormx1	pht001116.v10	Flow parameter: maximum aortic area	oaormx1	cardiac_mri	number	
oaormn1	pht001116.v10	Flow parameter: minimum aortic area	oaormn1	cardiac_mri	number	
mripp1	pht001116.v10	Pulse pressures average from the brachial blood pressures before and after series 7	mripp1	cardiac_mri	number	
nine11	pht001116.v10, pht001111.v4	Ct data corrected because of 9/11/01	nine11	cardiac_ct_scan	boolean	
agatum1c	pht001116.v10, pht001111.v4	Mean: agatston calcium score, unadjusted	agatum1c	cardiac_ct_scan	number	
volum1c	pht001116.v10, pht001111.v4	Mean: total calcium volume, unadjusted	volum1c	cardiac_ct_scan	number	
volsum1c	pht001116.v10, pht001111.v4	Mean: total volume score, unadjusted	volsum1c	cardiac_ct_scan	number	
massm1c	pht001116.v10, pht001111.v4	Mean: cac arterial mass	massm1c	cardiac_ct_scan	number	
agatpm1c	pht001116.v10, pht001111.v4	Mean: agatston calcium score, phantom-adjusted	agatpm1c	cardiac_ct_scan	number	
agatpm1t	pht001116.v10, pht001111.v4	Natural log-transformed phantom-adjusted agatston score (positive scores only) - e1	agatpm1t	cardiac_ct_scan	number	
cacgt01c	pht001116.v10, pht001111.v4	Presence of calcium indicator - e1	cacgt01c	cardiac_ct_scan	boolean	
volpm1c	pht001116.v10, pht001111.v4	Mean: total calcium volume, phantom-adjusted	volpm1c	cardiac_ct_scan	number	
