NWD_ID	HapMap_1000G_ID	SEQ_CTR	BUNDLE_ID	CRAM_URL	CRAI_URL	METADATA_JSON_URL
NWD100953	HG01110	WashU	44a8837b-4456-5709-b56b-54e23000f13a	s3://cgp-commons-public/topmed_open_access/44a8837b-4456-5709-b56b-54e23000f13a/NWD100953.recab.cram	s3://cgp-commons-public/topmed_open_access/44a8837b-4456-5709-b56b-54e23000f13a/NWD100953.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/44a8837b-4456-5709-b56b-54e23000f13a/metadata.json
NWD119836	NA12878	NYGC	204cf1bd-1477-57e6-880c-1b863edac627	s3://cgp-commons-public/topmed_open_access/204cf1bd-1477-57e6-880c-1b863edac627/NWD119836.recab.cram	s3://cgp-commons-public/topmed_open_access/204cf1bd-1477-57e6-880c-1b863edac627/NWD119836.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/204cf1bd-1477-57e6-880c-1b863edac627/metadata.json
NWD119844	NA12878	Baylor	06dfc2ab-2d04-52c3-9723-0ac4042e4e38	s3://cgp-commons-public/topmed_open_access/06dfc2ab-2d04-52c3-9723-0ac4042e4e38/NWD119844.recab.cram	s3://cgp-commons-public/topmed_open_access/06dfc2ab-2d04-52c3-9723-0ac4042e4e38/NWD119844.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/06dfc2ab-2d04-52c3-9723-0ac4042e4e38/metadata.json
NWD136397	HG01110	NYGC	bd91f499-1620-5500-8f73-89158fb9d709	s3://cgp-commons-public/topmed_open_access/bd91f499-1620-5500-8f73-89158fb9d709/NWD136397.recab.cram	s3://cgp-commons-public/topmed_open_access/bd91f499-1620-5500-8f73-89158fb9d709/NWD136397.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/bd91f499-1620-5500-8f73-89158fb9d709/metadata.json
NWD146103	NA19238	WashU	f262151f-155d-5511-a809-bd02342f6754	s3://cgp-commons-public/topmed_open_access/f262151f-155d-5511-a809-bd02342f6754/NWD146103.recab.cram	s3://cgp-commons-public/topmed_open_access/f262151f-155d-5511-a809-bd02342f6754/NWD146103.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/f262151f-155d-5511-a809-bd02342f6754/metadata.json
NWD155824	NA12878	Broad	b0ef8b2f-6984-544d-aea8-ccaa2c444760	s3://cgp-commons-public/topmed_open_access/b0ef8b2f-6984-544d-aea8-ccaa2c444760/NWD155824.recab.cram	s3://cgp-commons-public/topmed_open_access/b0ef8b2f-6984-544d-aea8-ccaa2c444760/NWD155824.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/b0ef8b2f-6984-544d-aea8-ccaa2c444760/metadata.json
NWD165827	NA19238	UW	197bc047-e917-55ed-852d-d563cdbc50e4	s3://cgp-commons-public/topmed_open_access/197bc047-e917-55ed-852d-d563cdbc50e4/NWD165827.recab.cram	s3://cgp-commons-public/topmed_open_access/197bc047-e917-55ed-852d-d563cdbc50e4/NWD165827.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/197bc047-e917-55ed-852d-d563cdbc50e4/metadata.json
NWD176325	NA19238	Broad	0583d98e-b079-51ae-affc-1c2d6200c84d	s3://cgp-commons-public/topmed_open_access/0583d98e-b079-51ae-affc-1c2d6200c84d/NWD176325.recab.cram	s3://cgp-commons-public/topmed_open_access/0583d98e-b079-51ae-affc-1c2d6200c84d/NWD176325.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/0583d98e-b079-51ae-affc-1c2d6200c84d/metadata.json
NWD183321	NA19238	Broad	70dcc474-94f0-5eb7-bfda-d9e331b25347	s3://cgp-commons-public/topmed_open_access/70dcc474-94f0-5eb7-bfda-d9e331b25347/NWD183321.recab.cram	s3://cgp-commons-public/topmed_open_access/70dcc474-94f0-5eb7-bfda-d9e331b25347/NWD183321.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/70dcc474-94f0-5eb7-bfda-d9e331b25347/metadata.json
NWD191048	NA19238	UW	ded720e9-84e5-540d-9f22-409968dbb013	s3://cgp-commons-public/topmed_open_access/ded720e9-84e5-540d-9f22-409968dbb013/NWD191048.recab.cram	s3://cgp-commons-public/topmed_open_access/ded720e9-84e5-540d-9f22-409968dbb013/NWD191048.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/ded720e9-84e5-540d-9f22-409968dbb013/metadata.json
