NWD_ID	HapMap_1000G_ID	SEQ_CTR	CRAM_URL	CRAI_URL
NWD100953	HG01110	WashU	gs://cgp-commons-multi-region-public/topmed_open_access/NWD100953.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD100953.recab.cram.crai
NWD119836	NA12878	NYGC	gs://cgp-commons-multi-region-public/topmed_open_access/NWD119836.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD119836.recab.cram.crai
NWD119844	NA12878	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD119844.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD119844.recab.cram.crai
NWD136397	HG01110	NYGC	gs://cgp-commons-multi-region-public/topmed_open_access/NWD136397.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD136397.recab.cram.crai
NWD146103	NA19238	WashU	gs://cgp-commons-multi-region-public/topmed_open_access/NWD146103.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD146103.recab.cram.crai
NWD155824	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD155824.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD155824.recab.cram.crai
NWD165827	NA19238	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD165827.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD165827.recab.cram.crai
NWD176325	NA19238	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD176325.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD176325.recab.cram.crai
NWD183321	NA19238	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD183321.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD183321.recab.cram.crai
NWD191048	NA19238	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD191048.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD191048.recab.cram.crai
NWD230091	HG01110	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD230091.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD230091.recab.cram.crai
NWD231092	HG01111	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD231092.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD231092.recab.cram.crai
NWD234815	HG01111	WashU	gs://cgp-commons-multi-region-public/topmed_open_access/NWD234815.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD234815.recab.cram.crai
NWD245311	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD245311.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD245311.recab.cram.crai
NWD259170	HG01110	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD259170.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD259170.recab.cram.crai
